Source,Type,Target,Weight
Бенджамен Бэкбайт,Undirected,Горничная,1
Бенджамен Бэкбайт,Undirected,Джозеф Сэрфес,2
Бенджамен Бэкбайт,Undirected,Крэбтри,3
Бенджамен Бэкбайт,Undirected,Леди Снируэл,3
Бенджамен Бэкбайт,Undirected,Леди Тизл,1
Бенджамен Бэкбайт,Undirected,Мария,2
Бенджамен Бэкбайт,Undirected,Миссис Кэндэр,3
Бенджамен Бэкбайт,Undirected,Оливер Сэрфес,1
Бенджамен Бэкбайт,Undirected,Питер Тизл,2
Бенджамен Бэкбайт,Undirected,Раули,1
Бенджамен Бэкбайт,Undirected,Слуга леди Снируэл,2
Бенджамен Бэкбайт,Undirected,Снейк,1
Гарри Бэмпер,Undirected,Кейрлесс,1
Гарри Бэмпер,Undirected,Трип,1
Гарри Бэмпер,Undirected,Чарльз Сэрфес,1
Горничная,Undirected,Крэбтри,1
Горничная,Undirected,Леди Снируэл,1
Горничная,Undirected,Миссис Кэндэр,1
Горничная,Undirected,Оливер Сэрфес,1
Горничная,Undirected,Питер Тизл,1
Горничная,Undirected,Раули,1
Джозеф Сэрфес,Undirected,Крэбтри,2
Джозеф Сэрфес,Undirected,Леди Снируэл,3
Джозеф Сэрфес,Undirected,Леди Тизл,3
Джозеф Сэрфес,Undirected,Мария,3
Джозеф Сэрфес,Undirected,Миссис Кэндэр,2
Джозеф Сэрфес,Undirected,Оливер Сэрфес,1
Джозеф Сэрфес,Undirected,Оливер Сэрфес ,1
Джозеф Сэрфес,Undirected,Питер Тизл,3
Джозеф Сэрфес,Undirected,Раули,2
Джозеф Сэрфес,Undirected,Слуга Джозефа,2
Джозеф Сэрфес,Undirected,Слуга леди Снируэл,2
Джозеф Сэрфес,Undirected,Снейк,2
Джозеф Сэрфес,Undirected,Чарльз Сэрфес,2
Кейрлесс,Undirected,Мозес,1
Кейрлесс,Undirected,Оливер Сэрфес,1
Кейрлесс,Undirected,Раули,1
Кейрлесс,Undirected,Трип,1
Кейрлесс,Undirected,Чарльз Сэрфес,2
Крэбтри,Undirected,Леди Снируэл,3
Крэбтри,Undirected,Леди Тизл,1
Крэбтри,Undirected,Мария,2
Крэбтри,Undirected,Миссис Кэндэр,3
Крэбтри,Undirected,Оливер Сэрфес,1
Крэбтри,Undirected,Питер Тизл,2
Крэбтри,Undirected,Раули,1
Крэбтри,Undirected,Слуга леди Снируэл,2
Крэбтри,Undirected,Снейк,1
Леди Снируэл,Undirected,Леди Тизл,2
Леди Снируэл,Undirected,Мария,3
Леди Снируэл,Undirected,Миссис Кэндэр,3
Леди Снируэл,Undirected,Оливер Сэрфес,2
Леди Снируэл,Undirected,Питер Тизл,3
Леди Снируэл,Undirected,Раули,2
Леди Снируэл,Undirected,Слуга леди Снируэл,2
Леди Снируэл,Undirected,Снейк,2
Леди Снируэл,Undirected,Чарльз Сэрфес,1
Леди Тизл,Undirected,Мария,3
Леди Тизл,Undirected,Миссис Кэндэр,1
Леди Тизл,Undirected,Мозес,1
Леди Тизл,Undirected,Оливер Сэрфес,2
Леди Тизл,Undirected,Питер Тизл,5
Леди Тизл,Undirected,Раули,2
Леди Тизл,Undirected,Слуга Джозефа,1
Леди Тизл,Undirected,Слуга леди Снируэл,1
Леди Тизл,Undirected,Снейк,1
Леди Тизл,Undirected,Чарльз Сэрфес,2
Мария,Undirected,Миссис Кэндэр,2
Мария,Undirected,Мозес,1
Мария,Undirected,Оливер Сэрфес,2
Мария,Undirected,Питер Тизл,3
Мария,Undirected,Раули,2
Мария,Undirected,Слуга леди Снируэл,2
Мария,Undirected,Снейк,2
Мария,Undirected,Чарльз Сэрфес,1
Миссис Кэндэр,Undirected,Оливер Сэрфес,1
Миссис Кэндэр,Undirected,Питер Тизл,2
Миссис Кэндэр,Undirected,Раули,1
Миссис Кэндэр,Undirected,Слуга леди Снируэл,2
Миссис Кэндэр,Undirected,Снейк,1
Мозес,Undirected,Оливер Сэрфес,4
Мозес,Undirected,Питер Тизл,1
Мозес,Undirected,Раули,3
Мозес,Undirected,Трип,2
Мозес,Undirected,Чарльз Сэрфес,1
Оливер Сэрфес ,Undirected,Раули,1
Оливер Сэрфес ,Undirected,Слуга Джозефа,1
Оливер Сэрфес,Undirected,Питер Тизл,4
Оливер Сэрфес,Undirected,Раули,6
Оливер Сэрфес,Undirected,Снейк,1
Оливер Сэрфес,Undirected,Трип,2
Оливер Сэрфес,Undirected,Чарльз Сэрфес,2
Питер Тизл,Undirected,Раули,5
Питер Тизл,Undirected,Слуга Джозефа,1
Питер Тизл,Undirected,Слуга леди Снируэл,1
Питер Тизл,Undirected,Снейк,1
Питер Тизл,Undirected,Чарльз Сэрфес,2
Раули,Undirected,Слуга Джозефа,1
Раули,Undirected,Снейк,1
Раули,Undirected,Трип,1
Раули,Undirected,Чарльз Сэрфес,2
Слуга Джозефа,Undirected,Чарльз Сэрфес,1
Слуга леди Снируэл,Undirected,Снейк,1
Снейк,Undirected,Чарльз Сэрфес,1
Трип,Undirected,Чарльз Сэрфес,1
